,Summary,Packet Size,Network Protocol,Transport Protocol,Operation,Source
0,IP TCP 10.0.2.15:58360 34.149.128.2:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:58360
1,IP TCP 34.149.128.2:https 10.0.2.15:58360 A Padding,66,IP,TCP,Connection-Transport,34.149.128.2:https
2,IP TCP 34.149.128.2:https 10.0.2.15:58360 PA Raw,99,IP,TCP,Connection-Transport,34.149.128.2:https
3,IP TCP 10.0.2.15:58360 34.149.128.2:https A,60,IP,TCP,Connection-Transport,10.0.2.15:58360
4,IP TCP 10.0.2.15:57266 172.64.149.23:http A,60,IP,TCP,Connection-Transport,10.0.2.15:57266
5,IP TCP 10.0.2.15:57274 172.64.149.23:http A,60,IP,TCP,Connection-Transport,10.0.2.15:57274
6,IP TCP 10.0.2.15:57278 172.64.149.23:http A,60,IP,TCP,Connection-Transport,10.0.2.15:57278
7,IP TCP 10.0.2.15:57290 172.64.149.23:http A,60,IP,TCP,Connection-Transport,10.0.2.15:57290
8,IP TCP 172.64.149.23:http 10.0.2.15:57266 A Padding,66,IP,TCP,Connection-Transport,172.64.149.23:http
9,IP TCP 172.64.149.23:http 10.0.2.15:57274 A Padding,66,IP,TCP,Connection-Transport,172.64.149.23:http
10,IP TCP 172.64.149.23:http 10.0.2.15:57278 A Padding,66,IP,TCP,Connection-Transport,172.64.149.23:http
11,IP TCP 172.64.149.23:http 10.0.2.15:57290 A Padding,66,IP,TCP,Connection-Transport,172.64.149.23:http
12,IP TCP 10.0.2.15:56638 142.250.184.131:http A,60,IP,TCP,Connection-Transport,10.0.2.15:56638
13,IP TCP 142.250.184.131:http 10.0.2.15:56638 A Padding,66,IP,TCP,Connection-Transport,142.250.184.131:http
14,IP TCP 10.0.2.15:56646 142.250.184.131:http A,60,IP,TCP,Connection-Transport,10.0.2.15:56646
15,IP TCP 10.0.2.15:56654 142.250.184.131:http A,60,IP,TCP,Connection-Transport,10.0.2.15:56654
16,IP TCP 10.0.2.15:56660 142.250.184.131:http A,60,IP,TCP,Connection-Transport,10.0.2.15:56660
17,IP TCP 142.250.184.131:http 10.0.2.15:56646 A Padding,66,IP,TCP,Connection-Transport,142.250.184.131:http
18,IP TCP 142.250.184.131:http 10.0.2.15:56654 A Padding,66,IP,TCP,Connection-Transport,142.250.184.131:http
19,IP TCP 142.250.184.131:http 10.0.2.15:56660 A Padding,66,IP,TCP,Connection-Transport,142.250.184.131:http
20,IP TCP 10.0.2.15:59932 172.64.146.98:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:59932
21,IP TCP 172.64.146.98:https 10.0.2.15:59932 A Padding,66,IP,TCP,Connection-Transport,172.64.146.98:https
22,IP TCP 172.64.146.98:https 10.0.2.15:59932 PA Raw,99,IP,TCP,Connection-Transport,172.64.146.98:https
23,IP TCP 10.0.2.15:59932 172.64.146.98:https A,60,IP,TCP,Connection-Transport,10.0.2.15:59932
24,IP TCP 10.0.2.15:58100 108.157.62.27:http A,60,IP,TCP,Connection-Transport,10.0.2.15:58100
25,IP TCP 108.157.62.27:http 10.0.2.15:58100 A Padding,66,IP,TCP,Connection-Transport,108.157.62.27:http
26,IP TCP 10.0.2.15:58108 108.157.62.27:http A,60,IP,TCP,Connection-Transport,10.0.2.15:58108
27,IP TCP 108.157.62.27:http 10.0.2.15:58108 A Padding,66,IP,TCP,Connection-Transport,108.157.62.27:http
28,IP TCP 10.0.2.15:47988 193.192.103.249:http A,60,IP,TCP,Connection-Transport,10.0.2.15:47988
29,IP TCP 193.192.103.249:http 10.0.2.15:47988 A Padding,66,IP,TCP,Connection-Transport,193.192.103.249:http
30,IP TCP 10.0.2.15:53618 34.120.208.123:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:53618
31,IP TCP 34.120.208.123:https 10.0.2.15:53618 A Padding,66,IP,TCP,Connection-Transport,34.120.208.123:https
32,IP TCP 34.120.208.123:https 10.0.2.15:53618 PA Raw,99,IP,TCP,Connection-Transport,34.120.208.123:https
33,IP TCP 10.0.2.15:53618 34.120.208.123:https A,60,IP,TCP,Connection-Transport,10.0.2.15:53618
34,IP TCP 10.0.2.15:39954 185.199.108.133:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:39954
35,IP TCP 10.0.2.15:35052 185.199.110.154:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:35052
36,IP TCP 10.0.2.15:39954 185.199.108.133:https FPA Raw,84,IP,TCP,Connection-Transport,10.0.2.15:39954
37,IP TCP 10.0.2.15:35052 185.199.110.154:https FPA Raw,84,IP,TCP,Connection-Transport,10.0.2.15:35052
38,IP TCP 185.199.108.133:https 10.0.2.15:39954 A Padding,66,IP,TCP,Connection-Transport,185.199.108.133:https
39,IP TCP 185.199.110.154:https 10.0.2.15:35052 A Padding,66,IP,TCP,Connection-Transport,185.199.110.154:https
40,IP TCP 185.199.108.133:https 10.0.2.15:39954 A Padding,66,IP,TCP,Connection-Transport,185.199.108.133:https
41,IP TCP 185.199.110.154:https 10.0.2.15:35052 A Padding,66,IP,TCP,Connection-Transport,185.199.110.154:https
42,IP TCP 185.199.108.133:https 10.0.2.15:39954 PA Raw,84,IP,TCP,Connection-Transport,185.199.108.133:https
43,IP TCP 10.0.2.15:39954 185.199.108.133:https R,60,IP,TCP,Connection-Transport,10.0.2.15:39954
44,IP TCP 185.199.108.133:https 10.0.2.15:39954 FA Padding,66,IP,TCP,Connection-Transport,185.199.108.133:https
45,IP TCP 10.0.2.15:39954 185.199.108.133:https R,60,IP,TCP,Connection-Transport,10.0.2.15:39954
46,IP TCP 185.199.110.154:https 10.0.2.15:35052 PA Raw,84,IP,TCP,Connection-Transport,185.199.110.154:https
47,IP TCP 10.0.2.15:35052 185.199.110.154:https R,60,IP,TCP,Connection-Transport,10.0.2.15:35052
48,IP TCP 185.199.110.154:https 10.0.2.15:35052 FA Padding,66,IP,TCP,Connection-Transport,185.199.110.154:https
49,IP TCP 10.0.2.15:35052 185.199.110.154:https R,60,IP,TCP,Connection-Transport,10.0.2.15:35052
50,IP TCP 185.199.108.133:https 10.0.2.15:39954 RA Padding,66,IP,TCP,Connection-Transport,185.199.108.133:https
51,IP TCP 185.199.110.154:https 10.0.2.15:35052 RA Padding,66,IP,TCP,Connection-Transport,185.199.110.154:https
52,IP TCP 10.0.2.15:33786 104.25.255.4:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:33786
53,IP TCP 10.0.2.15:56770 142.251.141.35:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:56770
54,IP TCP 104.25.255.4:https 10.0.2.15:33786 A Padding,66,IP,TCP,Connection-Transport,104.25.255.4:https
55,IP TCP 142.251.141.35:https 10.0.2.15:56770 A Padding,66,IP,TCP,Connection-Transport,142.251.141.35:https
56,IP TCP 104.25.255.4:https 10.0.2.15:33786 PA Raw,99,IP,TCP,Connection-Transport,104.25.255.4:https
57,IP TCP 10.0.2.15:33786 104.25.255.4:https A,60,IP,TCP,Connection-Transport,10.0.2.15:33786
58,IP TCP 142.251.141.35:https 10.0.2.15:56770 PA Raw,99,IP,TCP,Connection-Transport,142.251.141.35:https
59,IP TCP 10.0.2.15:56770 142.251.141.35:https A,60,IP,TCP,Connection-Transport,10.0.2.15:56770
60,IP TCP 10.0.2.15:43118 185.199.109.154:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:43118
61,IP TCP 185.199.109.154:https 10.0.2.15:43118 A Padding,66,IP,TCP,Connection-Transport,185.199.109.154:https
62,IP TCP 10.0.2.15:43118 185.199.109.154:https PA Raw,84,IP,TCP,Connection-Transport,10.0.2.15:43118
63,IP TCP 10.0.2.15:43118 185.199.109.154:https FA,60,IP,TCP,Connection-Transport,10.0.2.15:43118
64,IP TCP 185.199.109.154:https 10.0.2.15:43118 A Padding,66,IP,TCP,Connection-Transport,185.199.109.154:https
65,IP TCP 185.199.109.154:https 10.0.2.15:43118 A Padding,66,IP,TCP,Connection-Transport,185.199.109.154:https
66,IP TCP 185.199.109.154:https 10.0.2.15:43118 PA Raw,84,IP,TCP,Connection-Transport,185.199.109.154:https
67,IP TCP 10.0.2.15:43118 185.199.109.154:https R,60,IP,TCP,Connection-Transport,10.0.2.15:43118
68,IP TCP 185.199.109.154:https 10.0.2.15:43118 FA Padding,66,IP,TCP,Connection-Transport,185.199.109.154:https
69,IP TCP 10.0.2.15:43118 185.199.109.154:https R,60,IP,TCP,Connection-Transport,10.0.2.15:43118
70,IP TCP 185.199.109.154:https 10.0.2.15:43118 RA Padding,66,IP,TCP,Connection-Transport,185.199.109.154:https
71,IP TCP 10.0.2.15:55482 140.82.113.22:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:55482
72,IP TCP 10.0.2.15:33286 185.199.109.154:https PA Raw,99,IP,TCP,Connection-Transport,10.0.2.15:33286
